num,titulo,periodo,anio,division,origen,handle
1,"Efectos del cambio climático en la costa de América Latina y el Caribe: dinámicas, tendencias y variabilidad climática",2015-2018,2015,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,corpus_original,https://hdl.handle.net/11362/3955
2,Ocho tesis sobre el cambio climático y el desarrollo sostenible en América Latina,2015-2018,2015,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,corpus_original,https://hdl.handle.net/11362/39840
3,The rise of green bonds: Financing for development in Latin America and the Caribbean,2015-2018,2017,DESARROLLO ECONÓMICO,corpus_original,https://hdl.handle.net/11362/42230
4,Economía del Cambio Climático en Honduras: documento técnico 2017,2015-2018,2017,México,corpus_original,https://hdl.handle.net/11362/42355
6,La tragedia ambiental de América Latina y el Caribe,2019-2022,2020,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,corpus_original,https://hdl.handle.net/11362/46101
8,Reflexiones sobre la gestión del agua en América Latina y el Caribe. Textos seleccionados 2002-2020,2019-2022,2021,RECURSOS NATURALES,corpus_original,https://hdl.handle.net/11362/46792
9,Building a climate resilient power sector in the context of the Caribbean small island developing States’ energy transition. Policy Brief,2019-2022,2022,Puerto España,corpus_original,https://hdl.handle.net/11362/48603
10,Una década de acción  para un cambio de época. Quinto informe sobre el progreso y los desafíos regionales de la Agenda 2030 para el Desarrollo Sostenible en América Latina y el Caribe,2019-2022,2022,CEPAL - SE - Institucional,agregado_fase2,https://hdl.handle.net/11362/47745
11,El impacto del cambio climático en la pobreza infantil y juvenil de América Latina,2023-2026,2025,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,corpus_original,https://hdl.handle.net/11362/82426
12,Acción climática en la agricultura: la experiencia de países miembros de la Plataforma de Acción Climática en Agricultura de Latinoamérica y el Caribe,2023-2026,2023,RECURSOS NATURALES,corpus_original,https://hdl.handle.net/11362/48724
13,"Comercio, cambio climático y el impuesto fronterizo al carbono",2023-2026,2023,México,corpus_original,https://hdl.handle.net/11362/68639
14,América Latina y el Caribe ante las trampas del desarrollo: transformaciones indispensables y cómo gestionarlas,2023-2026,2024,CEPAL - SE - Institucional,agregado_fase2,https://hdl.handle.net/11362/80727
15,La economía del cambio climático en América Latina y el Caribe: paradojas y desafíos del desarrollo sostenible,2015-2018,2015,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,solicitado_equipo_curso,https://hdl.handle.net/11362/37310
16,"Acceso a la información, la participación y la justicia en asuntos ambientales en América Latina y el Caribe: hacia el logro de la Agenda 2030 para el Desarrollo Sostenible",2015-2018,2018,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,solicitado_equipo_curso,https://hdl.handle.net/11362/43301
17,Estudio Económico de América Latina y el Caribe 2023. El financiamiento de una transición sostenible: inversión para crecer y enfrentar el cambio climático,2023-2026,2023,DESARROLLO ECONÓMICO,solicitado_equipo_curso,https://hdl.handle.net/11362/67989
18,"La economía del cambio climático en América Latina y el Caribe, 2023: necesidades de financiamiento y herramientas de política para la transición hacia economías con bajas emisiones de carbono y resilientes al cambio climático",2023-2026,2024,DESARROLLO SOSTENIBLE Y ASENTAMIENTOS HUMANOS,solicitado_equipo_curso,https://hdl.handle.net/11362/69031
19,"Panorama de la Gestión Pública en América Latina y el Caribe, 2023: un Estado preparado para la acción climática",2023-2026,2024,PLANIFICACIÓN PARA EL DESARROLLO,solicitado_equipo_curso,https://hdl.handle.net/11362/69075
